;time;Channel0_impression;Channel1_impression;Channel2_impression;Channel3_impression;Channel4_impression;Channel0_spend;Channel1_spend;Channel2_spend;Channel3_spend;Channel4_spend;conversions;revenue_per_conversion
0;01/01/2024;4599;0;0;0;0;278,92;0;0;0;0;28,55;32,38
1;02/01/2024;5747;0;0;0;0;349,56;0;0;0;0;40,79;31,07
2;03/01/2024;5573;0;0;0;0;310,38;0;0;0;0;36,28;34,4
3;04/01/2024;4884;33871;0;0;0;262,63;32,79;0;0;0;78,27;6,44
4;05/01/2024;4132;13361;0;0;0;269,76;47,67;0;0;0;116,41;9,95
5;06/01/2024;5213;10655;0;0;0;310,34;30,87;0;0;0;128,49;9,97
6;07/01/2024;4932;14515;0;0;0;287,77;29,9;0;0;0;120,26;8,72
7;08/01/2024;4861;11782;0;0;0;299,01;27,4;0;0;0;125,29;10,37
8;09/01/2024;3739;10564;0;0;0;202,51;29,3;0;0;0;137,93;7,55
9;10/01/2024;3299;12818;0;0;0;161,54;29,72;0;0;0;200,92;9,03
10;11/01/2024;3202;13137;0;0;0;169,8;28,93;0;0;0;175,69;8,47
11;12/01/2024;2863;22600;0;0;0;140,11;31,69;0;0;0;171,61;4,97
12;13/01/2024;3240;23568;0;0;0;122,74;28,64;0;0;0;170,97;5,36
13;14/01/2024;4091;21211;0;0;0;151,14;27,35;0;0;0;151,84;4,39
14;15/01/2024;4556;25503;0;0;0;180,51;25,8;0;0;0;158,48;7,91
15;16/01/2024;3640;28723;0;0;0;144,05;26,74;0;0;0;152,88;7,97
16;17/01/2024;3434;26544;0;0;0;136,36;27,42;0;0;0;161,27;5,6
17;18/01/2024;3238;45324;0;0;0;168,74;46,02;0;0;0;261,92;4,3
18;19/01/2024;3435;47764;0;0;0;200,04;48,3;0;0;0;275,8;4,06
19;20/01/2024;3540;48895;0;0;0;207,32;48,58;0;0;0;279,23;4,21
20;21/01/2024;4277;49436;0;0;0;196,27;47,59;0;0;0;279,01;3,68
21;22/01/2024;3693;44462;0;0;0;188,93;45,38;0;0;0;279,64;2,94
22;23/01/2024;4233;20687;0;0;0;174,65;30,95;0;0;0;170,05;6,63
23;24/01/2024;4329;25747;0;0;0;180,15;47,73;0;0;0;206,81;8,34
24;25/01/2024;4398;28915;0;0;0;186,45;60,51;0;0;0;195,09;6,17
25;26/01/2024;4298;24809;0;0;0;205,03;46,68;0;0;0;185,9;5,99
26;27/01/2024;3860;18519;0;0;0;188,41;34,73;0;0;0;167,13;7,57
27;28/01/2024;4627;17171;0;0;0;216,18;36,06;0;0;0;148,39;5,92
